#Digilent WaveForms Logic Analyzer Bus
#Device Name: Discovery2
#Serial Number: SN:210321B27B48
#Date Time: 2025-07-20 16:38:26.1000

Time (s),Data
-21.23841,66
-21.23827,77
-21.238125,54
-21.237985,48
-21.237845,1
-21.237705,0
-21.237565,0
-21.23742,0
-21.23728,0
-21.23714,0
-21.236995,54
-21.23685,4
-21.236705,0
-21.236555,0
-21.23608,40
-21.235935,0
-21.235795,0
-21.235655,0
-21.235515,64
-21.235375,1
-21.235235,0
-21.235095,0
-21.234955,240
-21.23481,0
-21.23467,0
-21.23453,0
-21.23439,1
-21.23392,0
-21.23378,8
-21.233635,0
-21.233495,0
-21.233355,0
-21.233215,0
-21.233075,0
-21.232935,0
-21.232795,44
-21.232655,1
-21.232515,0
-21.23237,0
-21.23223,0
-21.23209,0
-21.23195,0
-21.23181,0
-21.23167,0
-21.231525,0
-21.231385,0
-21.231245,0
-21.231105,0
-21.230965,0
-21.230825,0
-21.230685,0
-21.230545,0
-21.230405,0
-21.230265,0
-21.21978,255
-21.21964,255
-21.2195,255
-21.21936,0
-21.219215,170
-21.219075,255
-21.218935,255
-21.218795,0
-21.218655,85
-21.218515,255
-21.218375,255
-21.218235,0
-21.218095,0
-21.21795,255
-21.21781,255
-21.21767,0
-21.217095,0
-21.21695,247
-21.2168,255
-21.216655,0
-21.216515,0
-21.216375,239
-21.216235,255
-21.216095,0
-21.215955,0
-21.215815,231
-21.215675,255
-21.215535,0
-21.215395,0
-21.215255,223
-21.215115,255
-21.214975,0
-21.214835,0
-21.214695,215
-21.214555,255
-21.214415,0
-21.214275,0
-21.214135,207
-21.213995,255
-21.213855,0
-21.213715,0
-21.21357,199
-21.21343,255
-21.213285,0
-21.213145,0
-21.213005,191
-21.212865,255
-21.21272,0
-21.21258,0
-21.21244,183
-21.212295,255
-21.212155,0
-21.212015,0
-21.211865,175
-21.21172,255
-21.211575,0
-21.211425,0
-21.21128,167
-21.21112,255
-21.210975,0
-21.210835,0
-21.210695,159
-21.210555,255
-21.210415,0
-21.210275,255
-21.210135,255
-21.209995,255
-21.209855,0
-21.209715,255
-21.20957,238
-21.20943,238
-21.20929,0
-21.20915,255
-21.20901,221
-21.20887,221
-21.20873,0
-21.20859,255
-21.208445,204
-21.208305,204
-21.208165,0
-21.208025,255
-21.207885,187
-21.207745,187
-21.2076,0
-21.20746,255
-21.20732,170
-21.20718,170
-21.20704,0
-21.2069,255
-21.20676,153
-21.20662,153
-21.206475,0
-21.206335,255
-21.206195,136
-21.206055,136
-21.205915,0
-21.205775,255
-21.205635,119
-21.205495,119
-21.20535,0
-21.20521,255
-21.20507,102
-21.20493,102
-21.20479,0
-21.20465,255
-21.20451,85
-21.20437,85
-21.204225,0
-21.204085,255
-21.203945,68
-21.203805,68
-21.203665,0
-21.203525,255
-21.203385,51
-21.203245,51
-21.2031,0
-21.20296,255
-21.20282,34
-21.20268,34
-21.20254,0
-21.2024,255
-21.20226,17
-21.20212,17
-21.20198,0
-21.20184,255
-21.2017,0
-21.20156,0
-21.20142,0
-21.20128,255
-21.20114,255
-21.201,255
-21.20059,0
-21.20045,255
-21.200305,224
-21.200165,255
-21.20002,0
-21.19988,255
-21.19974,193
-21.1996,255
-21.19946,0
-21.19932,255
-21.199175,162
-21.199035,255
-21.198885,0
-21.19874,255
-21.19859,131
-21.198445,255
-21.198295,0
-21.198155,255
-21.198015,100
-21.197875,255
-21.197735,0
-21.197595,255
-21.197455,69
-21.197315,255
-21.197175,0
-21.19703,255
-21.196875,38
-21.196735,255
-21.19659,0
-21.19645,255
-21.19629,0
-21.19615,255
-21.19601,0
-21.19587,247
-21.19571,0
-21.19557,247
-21.19543,0
-21.19529,239
-21.19515,0
-21.19501,239
-21.194865,0
-21.194725,231
-21.194565,0
-21.194425,231
-21.194285,0
-21.194145,223
-21.193985,0
-21.193845,223
-21.193705,0
-21.193565,215
-21.193405,0
-21.193265,215
-21.193125,0
-21.192985,207
-21.192825,0
-21.192685,207
-21.192545,0
-21.1924,192
-21.19226,0
-21.19212,192
-21.19198,0
-21.19184,255
-21.1917,255
-21.19156,255
-21.19142,0
-21.191275,224
-21.191135,255
-21.190995,224
-21.190855,0
-21.190715,193
-21.190575,255
-21.190435,193
-21.190295,0
-21.19015,162
-21.19001,255
-21.18987,162
-21.18973,0
-21.18959,131
-21.18945,255
-21.18931,131
-21.18917,0
-21.18903,100
-21.188885,255
-21.188745,100
-21.188605,0
-21.188465,69
-21.188325,255
-21.188185,69
-21.188045,0
-21.187905,38
-21.18776,255
-21.18762,38
-21.18748,0
-21.18734,0
-21.1872,255
-21.18706,0
-21.186915,0
-21.18677,0
-21.186625,247
-21.18648,0
-21.186335,0
-21.186175,0
-21.186035,239
-21.185895,0
-21.185755,0
-21.185615,0
-21.18547,231
-21.18533,0
-21.18519,0
-21.18505,0
-21.18491,223
-21.18477,0
-21.18463,0
-21.184485,0
-21.184345,215
-21.18375,0
-21.1836,0
-21.183455,0
-21.18331,207
-21.18317,0
-21.18303,0
-21.182885,0
-21.182745,192
-21.182605,0
-21.182465,0
-21.182325,255
-21.182185,255
-21.182045,255
-21.181905,0
-21.181765,224
-21.18162,224
-21.18148,255
-21.18134,0
-21.1812,193
-21.18106,193
-21.18092,255
-21.18078,0
-21.18064,162
-21.1805,162
-21.18036,255
-21.180215,0
-21.180075,131
-21.179935,131
-21.179795,255
-21.179655,0
-21.179515,100
-21.179375,100
-21.179235,255
-21.17909,0
-21.17895,69
-21.17881,69
-21.17867,255
-21.17851,0
-21.17837,38
-21.17823,38
-21.17809,255
-21.17795,0
-21.17781,0
-21.17767,0
-21.17753,255
-21.177385,0
-21.177245,0
-21.177105,0
-21.176965,247
-21.176825,0
-21.176685,0
-21.176545,0
-21.1764,239
-21.17626,0
-21.17612,0
-21.175975,0
-21.175835,231
-21.175695,0
-21.175555,0
-21.17541,0
-21.17527,223
-21.17513,0
-21.17498,0
-21.174835,0
-21.17469,215
-21.174545,0
-21.1744,0
-21.17426,0
-21.17412,207
-21.17398,0
-21.17384,0
-21.1737,0
-21.17356,192
-21.17342,0
-21.17328,255
-21.17314,255
-21.173,255
-21.17286,0
-21.17272,238
-21.17258,238
-21.172435,238
-21.172295,0
-21.172155,221
-21.172015,221
-21.171875,221
-21.171735,0
-21.171595,204
-21.17145,204
-21.17131,204
-21.17117,0
-21.17103,187
-21.17089,187
-21.17075,187
-21.17061,0
-21.17047,170
-21.17033,170
-21.170185,170
-21.170045,0
-21.169905,153
-21.169765,153
-21.169625,153
-21.169485,0
-21.169345,136
-21.169205,136
-21.169065,136
-21.16892,0
-21.16878,119
-21.16864,119
-21.1685,119
-21.16836,0
-21.16822,102
-21.16808,102
-21.167935,102
-21.167795,0
-21.167655,85
-21.167245,85
-21.167105,85
-21.16696,0
-21.16682,68
-21.16668,68
-21.16654,68
-21.1664,0
-21.16626,51
-21.16612,51
-21.165975,51
-21.165835,0
-21.165695,34
-21.165555,34
-21.165415,34
-21.165275,0
-21.165135,17
-21.164995,17
-21.16485,17
-21.16471,0
-21.16457,0
-21.16443,0
-21.164285,0
-21.164125,0
-21.163985,255
-21.16384,255
-21.1637,255
-21.16356,0
-21.16342,255
-21.16328,255
-21.163135,224
-21.162995,0
-21.162845,255
-21.1627,255
-21.162555,193
-21.162405,0
-21.16226,255
-21.16212,255
-21.161975,162
-21.161835,0
-21.161695,255
-21.161555,255
-21.161415,131
-21.161275,0
